TeamId,TeamName,SubmissionDate,Score
2005737,"Kensho Mosaic","2018-10-08 19:59:30",0.00000
2005737,"Kensho Mosaic","2018-10-08 20:01:31",0.52090
1936184,"Azat Davletshin","2018-10-08 20:32:27",0.70144
1936184,"Azat Davletshin","2018-10-08 21:26:11",0.70196
1947027,"Paulo Pinto","2018-10-08 21:37:31",0.52090
1938732,"Alexis Letulier","2018-10-08 22:33:34",0.71611
1978367,DSEverything,"2018-10-08 22:56:42",0.52090
1937478,"Shujian Liu","2018-10-09 00:16:12",0.52090
1938059,NxGTR,"2018-10-09 00:37:02",0.52090
1937798,"Jonny Lee","2018-10-09 00:39:22",0.52090
1959413,"Iafoss & trian2018 & phun","2018-10-09 01:03:12",0.52090
1959413,"Iafoss & trian2018 & phun","2018-10-09 01:52:55",0.68981
2039346,Cocoxili,"2018-10-09 02:15:57",0.52090
1939820,AshishSinha,"2018-10-09 02:38:45",0.68981
2010038,skymapglobal.vn,"2018-10-09 02:51:23",0.69748
2039346,Cocoxili,"2018-10-09 02:54:34",0.66148
2010038,skymapglobal.vn,"2018-10-09 03:02:24",0.70572
2039346,Cocoxili,"2018-10-09 03:13:53",0.67530
1938059,NxGTR,"2018-10-09 03:15:35",0.68981
2010038,skymapglobal.vn,"2018-10-09 03:23:53",0.71440
1967224,SKM,"2018-10-09 03:25:26",0.52090
1966730,AnhHoTrong,"2018-10-09 03:32:46",0.52090
2010038,skymapglobal.vn,"2018-10-09 03:37:57",0.71479
2071684,teakins,"2018-10-09 03:39:23",0.57766
1938732,"Alexis Letulier","2018-10-09 04:05:48",0.71668
1957187,"Eric Vos","2018-10-09 04:19:56",0.68981
2175392,"Swastik Biswas","2018-10-09 05:19:39",0.68981
1939474,"Rüdiger Jungbeck","2018-10-09 05:26:14",0.65199
2005737,"Kensho Mosaic","2018-10-09 05:34:14",0.68110
1967224,SKM,"2018-10-09 05:35:55",0.60419
1949503,chalex,"2018-10-09 05:44:36",0.68981
2214468,excel@shanshuo,"2018-10-09 05:49:35",0.52946
2214468,excel@shanshuo,"2018-10-09 05:50:10",0.53193
2005737,"Kensho Mosaic","2018-10-09 05:54:48",0.68683
1936368,"robga & kerem & radek","2018-10-09 06:12:22",0.52090
2015837,"Anna Novikova","2018-10-09 06:18:27",0.68981
2000954,险峰风景,"2018-10-09 06:34:26",0.68981
1951585,TryingStuff!!,"2018-10-09 07:20:16",0.68981
1939474,"Rüdiger Jungbeck","2018-10-09 07:25:20",0.65329
2182574,"Alex Tran","2018-10-09 07:40:11",0.52090
2039775,PeterSorensen,"2018-10-09 08:01:42",0.52090
2214468,excel@shanshuo,"2018-10-09 08:09:27",0.71079
1936368,"robga & kerem & radek","2018-10-09 08:14:12",0.63590
1938907,"Mathurin Aché","2018-10-09 08:34:11",0.68981
1949725,YuanXu,"2018-10-09 08:48:04",0.64902
2121319,"Prajit Datta","2018-10-09 09:12:39",0.68981
2121319,"Prajit Datta","2018-10-09 09:17:47",0.68981
1955080,BhaveshPatidar,"2018-10-09 09:34:54",0.68981
1946164,"Alexey Filimonov","2018-10-09 09:50:11",0.28361
1946164,"Alexey Filimonov","2018-10-09 09:55:38",0.52090
2018632,toshi_k,"2018-10-09 10:04:34",0.68122
1937421,zhang0917,"2018-10-09 10:14:31",0.69096
2159315,"Jatin Chaudhary","2018-10-09 11:06:00",0.51751
